,0
als_m6_id_nbank_ca_allnum,44198
als_m6_id_nbank_cf_allnum,31213
als_m6_id_nbank_com_allnum,89197
als_m6_id_nbank_oth_allnum,50886
als_m6_id_nbank_nsloan_allnum,47594
als_m6_id_nbank_autofin_allnum,93220
als_m6_id_nbank_sloan_allnum,51231
als_m6_id_nbank_cons_allnum,46268
als_m6_id_nbank_finlea_allnum,77306
als_m6_id_nbank_else_allnum,36016
als_m6_id_nbank_orgnum,22839
als_m6_id_nbank_p2p_orgnum,56116
als_m6_id_nbank_mc_orgnum,80702
als_m6_id_nbank_ca_orgnum,44198
als_m6_id_nbank_cf_orgnum,31213
als_m6_id_nbank_com_orgnum,89197
als_m6_id_nbank_oth_orgnum,50886
als_m6_id_nbank_nsloan_orgnum,47594
als_m6_id_nbank_autofin_orgnum,93220
als_m6_id_nbank_sloan_orgnum,51231
als_m6_id_nbank_cons_orgnum,46268
als_m6_id_nbank_finlea_orgnum,77306
als_m6_id_nbank_else_orgnum,36016
als_m6_id_nbank_tot_mons,22842
als_m6_id_nbank_avg_monnum,22842
als_m6_id_nbank_max_monnum,22842
als_m6_id_nbank_min_monnum,22842
als_m6_id_nbank_max_inteday,34047
als_m6_id_nbank_min_inteday,34047
als_m6_id_nbank_week_allnum,22839
als_m6_id_nbank_week_orgnum,22839
als_m6_id_nbank_night_allnum,22839
als_m6_id_nbank_night_orgnum,22839
als_m6_cell_max_inteday,30737
als_m6_cell_min_inteday,30737
als_m6_cell_tot_mons,18443
als_m6_cell_avg_monnum,18443
als_m6_cell_max_monnum,18443
als_m6_cell_min_monnum,18443
als_m6_cell_pdl_allnum,38993
als_m6_cell_pdl_orgnum,38993
als_m6_cell_caon_allnum,45863
als_m6_cell_caon_orgnum,45863
als_m6_cell_rel_allnum,45572
als_m6_cell_rel_orgnum,45572
als_m6_cell_caoff_allnum,64526
als_m6_cell_caoff_orgnum,64526
als_m6_cell_cooff_allnum,67521
als_m6_cell_cooff_orgnum,67521
als_m6_cell_af_allnum,90215
als_m6_cell_af_orgnum,90215
als_m6_cell_coon_allnum,76905
als_m6_cell_coon_orgnum,76905
als_m6_cell_oth_allnum,55967
als_m6_cell_oth_orgnum,55967
als_m6_cell_bank_selfnum,53494
als_m6_cell_bank_allnum,53494
als_m6_cell_bank_tra_allnum,53848
als_m6_cell_bank_ret_allnum,92610
als_m6_cell_bank_orgnum,53494
als_m6_cell_bank_tra_orgnum,53848
als_m6_cell_bank_ret_orgnum,92610
als_m6_cell_bank_tot_mons,53500
als_m6_cell_bank_avg_monnum,53500
als_m6_cell_bank_max_monnum,53500
als_m6_cell_bank_min_monnum,53500
als_m6_cell_bank_max_inteday,75345
als_m6_cell_bank_min_inteday,75345
als_m6_cell_bank_week_allnum,53494
als_m6_cell_bank_week_orgnum,53494
als_m6_cell_bank_night_allnum,53494
als_m6_cell_bank_night_orgnum,53494
als_m6_cell_nbank_selfnum,24799
als_m6_cell_nbank_allnum,24799
als_m6_cell_nbank_p2p_allnum,61880
als_m6_cell_nbank_mc_allnum,81597
als_m6_cell_nbank_ca_allnum,45446
als_m6_cell_nbank_cf_allnum,33129
als_m6_cell_nbank_com_allnum,89327
als_m6_cell_nbank_oth_allnum,52138
als_m6_cell_nbank_nsloan_allnum,50738
als_m6_cell_nbank_autofin_allnum,93226
als_m6_cell_nbank_sloan_allnum,52505
als_m6_cell_nbank_cons_allnum,47964
als_m6_cell_nbank_finlea_allnum,77903
als_m6_cell_nbank_else_allnum,37761
als_m6_cell_nbank_orgnum,24799
als_m6_cell_nbank_p2p_orgnum,61880
als_m6_cell_nbank_mc_orgnum,81597
als_m6_cell_nbank_ca_orgnum,45446
als_m6_cell_nbank_cf_orgnum,33129
als_m6_cell_nbank_com_orgnum,89327
als_m6_cell_nbank_oth_orgnum,52138
als_m6_cell_nbank_nsloan_orgnum,50738
als_m6_cell_nbank_autofin_orgnum,93226
als_m6_cell_nbank_sloan_orgnum,52505
als_m6_cell_nbank_cons_orgnum,47964
als_m6_cell_nbank_finlea_orgnum,77903
als_m6_cell_nbank_else_orgnum,37761
als_m6_cell_nbank_tot_mons,24802
als_m6_cell_nbank_avg_monnum,24802
als_m6_cell_nbank_max_monnum,24802
als_m6_cell_nbank_min_monnum,24802
als_m6_cell_nbank_max_inteday,36202
als_m6_cell_nbank_min_inteday,36202
als_m6_cell_nbank_week_allnum,24799
als_m6_cell_nbank_week_orgnum,24799
als_m6_cell_nbank_night_allnum,24799
als_m6_cell_nbank_night_orgnum,24799
als_m12_id_max_inteday,23503
als_m12_id_min_inteday,23503
als_m12_id_tot_mons,13608
als_m12_id_avg_monnum,13608
als_m12_id_max_monnum,13608
als_m12_id_min_monnum,13608
als_m12_id_pdl_allnum,30964
als_m12_id_pdl_orgnum,30964
als_m12_id_caon_allnum,40023
als_m12_id_caon_orgnum,40023
als_m12_id_rel_allnum,39414
als_m12_id_rel_orgnum,39414
